Instance_ID,Distribution,n,W_d,v,Status,Mksp_Truck,Mksp_MaxDrone,Mksp_NFD_OS,Mksp_FFD_OS,Obj_Gurobi,LB_Gurobi,LB_Theo,LB_Best,MIP_Gap(%),Time(s),Gap_Truck(%),Gap_MaxDrone(%),Gap_NFD_OS(%),Gap_FFD_OS(%)
1,Left-skewed,100,0.15,1.5,9,1861.0,1861.0,2040.0,1861.0,2064.0,1710.0,1522,1710.0,17.15,600.13,8.83,8.83,19.3,8.83
2,Left-skewed,100,0.15,1.5,9,1988.0,1988.0,2179.0,1988.0,1995.0,1824.0,1619,1824.0,8.57,600.12,8.99,8.99,19.46,8.99
3,Left-skewed,100,0.15,1.5,9,1858.0,1858.0,1993.0,1858.0,2111.0,1710.0,1507,1710.0,19.0,600.1,8.65,8.65,16.55,8.65
4,Left-skewed,100,0.15,1.5,9,1858.0,1858.0,2038.0,1858.0,2009.0,1710.0,1506,1710.0,14.88,600.05,8.65,8.65,19.18,8.65
5,Left-skewed,100,0.15,1.5,9,1885.0,1885.0,2077.0,1885.0,2086.0,1728.0,1576,1728.0,17.16,600.05,9.09,9.09,20.2,9.09
6,Left-skewed,100,0.15,1.5,9,2031.0,2031.0,2175.0,2031.0,inf,0.0,1619,1619,100.0,600.25,0.0,0.0,0.0,0.0
7,Left-skewed,100,0.15,1.5,9,2075.0,2075.0,2219.0,2075.0,2364.0,1877.96,1552,1877.96,20.56,600.05,10.49,10.49,18.16,10.49
8,Left-skewed,100,0.15,1.5,9,2057.0,2057.0,2261.0,2057.0,2138.0,1887.0,1687,1887.0,11.74,600.05,9.01,9.01,19.82,9.01
9,Left-skewed,100,0.15,1.5,9,2032.0,2032.0,2216.0,2032.0,2026.0,1824.0,1536,1824.0,9.97,600.04,11.4,11.4,21.49,11.4
10,Left-skewed,100,0.15,1.5,9,1981.0,1981.0,2172.0,1981.0,2235.0,1824.0,1546,1824.0,18.39,600.05,8.61,8.61,19.08,8.61
1,Left-skewed,100,0.25,1.5,9,1861.0,1860.0,1950.0,1860.0,1859.0,1710.0,1522,1710.0,8.02,600.1,8.83,8.77,14.04,8.77
2,Left-skewed,100,0.25,1.5,9,1988.0,1978.0,2084.0,1978.0,2611.0,1728.0,1619,1728.0,33.82,600.14,15.05,14.47,20.6,14.47
3,Left-skewed,100,0.25,1.5,9,1858.0,1858.0,1948.0,1858.0,2031.0,1665.0,1507,1665.0,18.02,600.04,11.59,11.59,17.0,11.59
4,Left-skewed,100,0.25,1.5,9,1858.0,1813.0,1903.0,1813.0,2110.0,1620.0,1506,1620.0,23.22,600.14,14.69,11.91,17.47,11.91
5,Left-skewed,100,0.25,1.5,9,1885.0,1837.0,1981.0,1837.0,1967.0,1632.0,1576,1632.0,17.03,600.06,15.5,12.56,21.38,12.56
6,Left-skewed,100,0.25,1.5,9,2031.0,2031.0,2079.0,2031.0,2067.0,1872.0,1619,1872.0,9.43,600.05,8.49,8.49,11.06,8.49
7,Left-skewed,100,0.25,1.5,9,2075.0,2073.0,2171.0,2073.0,2085.0,1887.45,1552,1887.45,9.47,600.03,9.94,9.83,15.02,9.83
8,Left-skewed,100,0.25,1.5,9,2057.0,2057.0,2210.0,2057.0,2063.0,1836.0,1687,1836.0,11.0,600.05,12.04,12.04,20.37,12.04
9,Left-skewed,100,0.25,1.5,9,2032.0,2032.0,2175.0,2032.0,2390.0,1900.35,1536,1900.35,20.49,600.05,6.93,6.93,14.45,6.93
10,Left-skewed,100,0.25,1.5,9,1981.0,1932.0,2076.0,1932.0,2130.0,1872.0,1546,1872.0,12.11,600.06,5.82,3.21,10.9,3.21
1,Left-skewed,100,0.35,1.5,9,1861.0,1545.0,1545.0,1545.0,1607.0,1530.0,1522,1530.0,4.79,600.07,21.63,0.98,0.98,0.98
2,Left-skewed,100,0.35,1.5,9,1988.0,1619,1619,1619,1988.0,1584.0,1619,1619,20.32,600.09,22.79,0.0,0.0,0.0
3,Left-skewed,100,0.35,1.5,9,1858.0,1507,1507,1507,1581.0,1485.0,1507,1507,6.07,600.04,23.29,0.0,0.0,0.0
4,Left-skewed,100,0.35,1.5,9,1858.0,1506,1506,1506,1578.0,1485.0,1506,1506,5.89,600.04,23.37,0.0,0.0,0.0
5,Left-skewed,100,0.35,1.5,9,1885.0,1576,1576,1576,1616.0,1344.0,1576,1576,16.83,600.05,19.61,0.0,0.0,0.0
