Instance_ID,Distribution,n,W_d,v,Status,Mksp_Truck,Mksp_MaxDrone,Mksp_NFD_OS,Mksp_FFD_OS,Obj_Gurobi,LB_Gurobi,LB_Theo,LB_Best,MIP_Gap(%),Time(s),Gap_Truck(%),Gap_MaxDrone(%),Gap_NFD_OS(%),Gap_FFD_OS(%)
1,Left-skewed,50,0.15,1.5,9,1136.0,1136.0,1191.0,1136.0,1087.0,1077.0,870,1077.0,0.92,600.03,5.48,5.48,10.58,5.48
2,Left-skewed,50,0.15,1.5,2,1019.0,1019.0,1115.0,1019.0,1013.0,1013.0,794,1013.0,0.0,28.02,0.59,0.59,10.07,0.59
3,Left-skewed,50,0.15,1.5,9,964.0,964.0,1009.0,964.0,950.0,905.0,749,905.0,4.74,600.02,6.52,6.52,11.49,6.52
4,Left-skewed,50,0.15,1.5,9,960.0,960.0,1046.0,960.0,953.0,881.48,747,881.48,7.51,600.04,8.91,8.91,18.66,8.91
5,Left-skewed,50,0.15,1.5,2,958.0,958.0,1093.0,958.0,950.0,950.0,778,950.0,0.0,59.81,0.84,0.84,15.05,0.84
6,Left-skewed,50,0.15,1.5,9,978.0,978.0,1074.0,978.0,965.0,913.32,813,913.32,5.36,600.04,7.08,7.08,17.59,7.08
7,Left-skewed,50,0.15,1.5,9,971.0,971.0,1067.0,971.0,965.0,914.22,827,914.22,5.26,600.02,6.21,6.21,16.71,6.21
8,Left-skewed,50,0.15,1.5,9,961.0,961.0,1048.0,961.0,950.0,904.8,734,904.8,4.76,600.02,6.21,6.21,15.83,6.21
9,Left-skewed,50,0.15,1.5,9,978.0,978.0,1074.0,978.0,972.0,960.19,818,960.19,1.22,600.02,1.85,1.85,11.85,1.85
10,Left-skewed,50,0.15,1.5,9,900.0,900.0,977.0,900.0,887.0,845.0,724,845.0,4.74,600.03,6.51,6.51,15.62,6.51
1,Left-skewed,50,0.25,1.5,9,1136.0,1136.0,1191.0,1136.0,1083.0,1020.81,870,1020.81,5.74,600.02,11.28,11.28,16.67,11.28
2,Left-skewed,50,0.25,1.5,2,1019.0,1019.0,1113.0,1019.0,1017.0,1013.0,794,1013.0,0.39,15.76,0.59,0.59,9.87,0.59
3,Left-skewed,50,0.25,1.5,9,964.0,964.0,997.0,964.0,905.0,860.0,749,860.0,4.97,600.01,12.09,12.09,15.93,12.09
4,Left-skewed,50,0.25,1.5,9,960.0,960.0,1006.0,960.0,911.0,903.48,747,903.48,0.83,600.04,6.26,6.26,11.35,6.26
5,Left-skewed,50,0.25,1.5,2,958.0,958.0,1093.0,958.0,950.0,950.0,778,950.0,0.0,64.17,0.84,0.84,15.05,0.84
6,Left-skewed,50,0.25,1.5,9,978.0,978.0,1074.0,978.0,924.0,917.0,813,917.0,0.76,600.03,6.65,6.65,17.12,6.65
7,Left-skewed,50,0.25,1.5,9,971.0,923.0,971.0,923.0,922.0,917.0,827,917.0,0.54,600.02,5.89,0.65,5.89,0.65
8,Left-skewed,50,0.25,1.5,2,961.0,961.0,1006.0,961.0,910.0,906.0,734,906.0,0.44,546.91,6.07,6.07,11.04,6.07
9,Left-skewed,50,0.25,1.5,9,978.0,978.0,1074.0,978.0,970.0,913.62,818,913.62,5.81,600.01,7.05,7.05,17.55,7.05
10,Left-skewed,50,0.25,1.5,2,900.0,898.0,940.0,898.0,848.0,845.0,724,845.0,0.35,376.1,6.51,6.27,11.24,6.27
1,Left-skewed,50,0.35,1.5,2,1136.0,883.0,883.0,883.0,875.0,873.0,870,873.0,0.23,76.06,30.13,1.15,1.15,1.15
2,Left-skewed,50,0.35,1.5,9,1019.0,794,794,794,794.0,773.0,794,794,2.64,600.01,28.34,0.0,0.0,0.0
3,Left-skewed,50,0.35,1.5,9,964.0,749,749,749,749.0,680.0,749,749,9.21,600.02,28.7,0.0,0.0,0.0
4,Left-skewed,50,0.35,1.5,2,960.0,781.0,781.0,781.0,770.0,770.0,747,770.0,0.0,23.02,24.68,1.43,1.43,1.43
5,Left-skewed,50,0.35,1.5,9,958.0,778.0,778.0,778.0,778.0,770.0,778,778,1.03,600.03,23.14,0.0,0.0,0.0
6,Left-skewed,50,0.35,1.5,9,978.0,813,813,813,814.0,773.0,813,813,5.04,600.04,20.3,0.0,0.0,0.0
7,Left-skewed,50,0.35,1.5,9,971.0,827.0,827.0,827.0,827.0,821.0,827,827,0.73,600.03,17.41,0.0,0.0,0.0
8,Left-skewed,50,0.35,1.5,2,961.0,826.0,826.0,826.0,820.0,816.0,734,816.0,0.49,17.41,17.77,1.23,1.23,1.23
9,Left-skewed,50,0.35,1.5,9,978.0,818,818,818,818.0,773.0,818,818,5.5,600.02,19.56,0.0,0.0,0.0
10,Left-skewed,50,0.35,1.5,9,900.0,724,724,724,724.0,677.0,724,724,6.49,600.0,24.31,0.0,0.0,0.0
1,Left-skewed,50,0.15,2.0,2,1510.0,1510.0,1582.0,1510.0,1434.0,1434.0,870,1434.0,0.0,154.69,5.3,5.3,10.32,5.3
2,Left-skewed,50,0.15,2.0,2,1355.0,1355.0,1483.0,1355.0,1350.0,1344.0,794,1344.0,0.44,30.59,0.82,0.82,10.34,0.82
3,Left-skewed,50,0.15,2.0,2,1279.0,1279.0,1339.0,1279.0,1205.0,1201.1,749,1201.1,0.32,265.65,6.49,6.49,11.48,6.49
4,Left-skewed,50,0.15,2.0,2,1275.0,1275.0,1391.0,1275.0,1211.0,1205.0,747,1205.0,0.5,196.47,5.81,5.81,15.44,5.81
5,Left-skewed,50,0.15,2.0,2,1273.0,1273.0,1453.0,1273.0,1271.0,1265.0,778,1265.0,0.47,29.97,0.63,0.63,14.86,0.63
6,Left-skewed,50,0.15,2.0,9,1298.0,1298.0,1426.0,1298.0,1285.0,1217.05,813,1217.05,5.29,600.02,6.65,6.65,17.17,6.65
7,Left-skewed,50,0.15,2.0,9,1291.0,1291.0,1419.0,1291.0,1285.0,1216.0,827,1216.0,5.37,600.02,6.17,6.17,16.69,6.17
8,Left-skewed,50,0.15,2.0,9,1276.0,1276.0,1393.0,1276.0,1265.0,1200.0,734,1200.0,5.14,600.01,6.33,6.33,16.08,6.33
9,Left-skewed,50,0.15,2.0,9,1298.0,1298.0,1426.0,1298.0,1290.0,1221.0,818,1221.0,5.35,600.02,6.31,6.31,16.79,6.31
10,Left-skewed,50,0.15,2.0,2,1194.0,1194.0,1299.0,1194.0,1130.0,1125.0,724,1125.0,0.44,331.63,6.13,6.13,15.47,6.13
1,Left-skewed,50,0.25,2.0,2,1510.0,1510.0,1582.0,1510.0,1441.0,1434.0,870,1434.0,0.49,189.22,5.3,5.3,10.32,5.3
2,Left-skewed,50,0.25,2.0,2,1355.0,1355.0,1481.0,1355.0,1349.0,1349.0,794,1349.0,0.0,15.26,0.44,0.44,9.79,0.44
3,Left-skewed,50,0.25,2.0,9,1279.0,1279.0,1327.0,1279.0,1216.0,1200.1,749,1200.1,1.31,600.03,6.57,6.57,10.57,6.57
4,Left-skewed,50,0.25,2.0,9,1275.0,1275.0,1336.0,1275.0,1215.0,1202.09,747,1202.09,1.06,600.01,6.07,6.07,11.14,6.07
5,Left-skewed,50,0.25,2.0,2,1273.0,1273.0,1453.0,1273.0,1271.0,1265.0,778,1265.0,0.47,29.33,0.63,0.63,14.86,0.63
6,Left-skewed,50,0.25,2.0,9,1298.0,1298.0,1426.0,1298.0,1233.0,1221.0,813,1221.0,0.97,600.02,6.31,6.31,16.79,6.31
7,Left-skewed,50,0.25,2.0,9,1291.0,1227.0,1291.0,1227.0,1226.0,1152.0,827,1152.0,6.04,600.03,12.07,6.51,12.07,6.51
8,Left-skewed,50,0.25,2.0,2,1276.0,1276.0,1336.0,1276.0,1211.0,1205.0,734,1205.0,0.5,163.78,5.89,5.89,10.87,5.89
9,Left-skewed,50,0.25,2.0,9,1298.0,1298.0,1426.0,1298.0,1290.0,1221.0,818,1221.0,5.35,600.02,6.31,6.31,16.79,6.31
10,Left-skewed,50,0.25,2.0,2,1194.0,1192.0,1248.0,1192.0,1125.0,1120.19,724,1120.19,0.43,403.89,6.59,6.41,11.41,6.41
1,Left-skewed,50,0.35,2.0,2,1510.0,1172.0,1172.0,1172.0,1162.0,1162.0,870,1162.0,0.0,22.1,29.95,0.86,0.86,0.86
2,Left-skewed,50,0.35,2.0,2,1355.0,1035.0,1035.0,1035.0,1034.0,1029.0,794,1029.0,0.48,14.82,31.68,0.58,0.58,0.58
3,Left-skewed,50,0.35,2.0,2,1279.0,919.0,919.0,919.0,911.0,910.0,749,910.0,0.11,28.45,40.55,0.99,0.99,0.99
4,Left-skewed,50,0.35,2.0,2,1275.0,1036.0,1036.0,1036.0,1025.0,1025.0,747,1025.0,0.0,18.15,24.39,1.07,1.07,1.07
5,Left-skewed,50,0.35,2.0,2,1273.0,1033.0,1033.0,1033.0,1026.0,1023.25,778,1023.25,0.27,7.55,24.41,0.95,0.95,0.95
6,Left-skewed,50,0.35,2.0,2,1298.0,1042.0,1042.0,1042.0,1036.0,1031.0,813,1031.0,0.48,15.98,25.9,1.07,1.07,1.07
7,Left-skewed,50,0.35,2.0,2,1291.0,1099.0,1099.0,1099.0,1093.0,1093.0,827,1093.0,0.0,31.67,18.12,0.55,0.55,0.55
8,Left-skewed,50,0.35,2.0,2,1276.0,1096.0,1096.0,1096.0,1091.0,1088.0,734,1088.0,0.27,27.69,17.28,0.74,0.74,0.74
9,Left-skewed,50,0.35,2.0,2,1298.0,1042.0,1042.0,1042.0,1034.0,1029.0,818,1029.0,0.48,32.22,26.14,1.26,1.26,1.26
10,Left-skewed,50,0.35,2.0,2,1194.0,912.0,912.0,912.0,906.0,906.0,724,906.0,0.0,16.27,31.79,0.66,0.66,0.66
1,Left-skewed,50,0.15,3.0,9,2258.0,2258.0,2364.0,2258.0,2155.0,2040.71,870,2040.71,5.3,600.03,10.65,10.65,15.84,10.65
2,Left-skewed,50,0.15,3.0,2,2027.0,2027.0,2219.0,2027.0,2026.0,2016.0,794,2016.0,0.49,4.65,0.55,0.55,10.07,0.55
3,Left-skewed,50,0.15,3.0,2,1909.0,1909.0,1999.0,1909.0,1811.0,1805.0,749,1805.0,0.33,256.19,5.76,5.76,10.75,5.76
4,Left-skewed,50,0.15,3.0,9,1905.0,1905.0,2081.0,1905.0,1895.0,1762.17,747,1762.17,7.01,600.03,8.11,8.11,18.09,8.11
5,Left-skewed,50,0.15,3.0,2,1903.0,1903.0,2173.0,1903.0,1901.0,1891.53,778,1891.53,0.5,48.94,0.61,0.61,14.88,0.61
6,Left-skewed,50,0.15,3.0,9,1938.0,1938.0,2130.0,1938.0,1842.0,1829.0,813,1829.0,0.71,600.03,5.96,5.96,16.46,5.96
7,Left-skewed,50,0.15,3.0,2,1931.0,1931.0,2123.0,1931.0,1834.0,1829.0,827,1829.0,0.27,287.11,5.58,5.58,16.07,5.58
8,Left-skewed,50,0.15,3.0,9,1906.0,1906.0,2083.0,1906.0,1895.0,1800.0,734,1800.0,5.01,600.04,5.89,5.89,15.72,5.89
9,Left-skewed,50,0.15,3.0,2,1938.0,1938.0,2130.0,1938.0,1931.0,1921.45,818,1921.45,0.49,164.71,0.86,0.86,10.85,0.86
10,Left-skewed,50,0.15,3.0,9,1782.0,1782.0,1943.0,1782.0,1769.0,1681.49,724,1681.49,4.95,600.02,5.98,5.98,15.55,5.98
1,Left-skewed,50,0.25,3.0,9,2258.0,2258.0,2364.0,2258.0,2148.0,2040.0,870,2040.0,5.03,600.01,10.69,10.69,15.88,10.69
2,Left-skewed,50,0.25,3.0,2,2027.0,2027.0,2217.0,2027.0,2026.0,2016.0,794,2016.0,0.49,5.03,0.55,0.55,9.97,0.55
3,Left-skewed,50,0.25,3.0,2,1909.0,1909.0,1987.0,1909.0,1805.0,1800.36,749,1800.36,0.26,190.99,6.03,6.03,10.37,6.03
4,Left-skewed,50,0.25,3.0,2,1905.0,1905.0,1996.0,1905.0,1813.0,1803.98,747,1803.98,0.5,295.51,5.6,5.6,10.64,5.6
5,Left-skewed,50,0.25,3.0,2,1903.0,1903.0,2173.0,1903.0,1901.0,1891.53,778,1891.53,0.5,47.1,0.61,0.61,14.88,0.61
6,Left-skewed,50,0.25,3.0,2,1938.0,1938.0,2130.0,1938.0,1836.0,1829.0,813,1829.0,0.38,467.89,5.96,5.96,16.46,5.96
7,Left-skewed,50,0.25,3.0,2,1931.0,1835.0,1931.0,1835.0,1835.0,1825.97,827,1825.97,0.49,95.61,5.75,0.49,5.75,0.49
8,Left-skewed,50,0.25,3.0,2,1906.0,1906.0,1996.0,1906.0,1811.0,1805.0,734,1805.0,0.33,434.12,5.6,5.6,10.58,5.6
9,Left-skewed,50,0.25,3.0,9,1938.0,1938.0,2130.0,1938.0,1930.0,1825.49,818,1825.49,5.41,600.04,6.16,6.16,16.68,6.16
10,Left-skewed,50,0.25,3.0,9,1782.0,1780.0,1864.0,1780.0,1694.0,1685.0,724,1685.0,0.53,600.01,5.76,5.64,10.62,5.64
1,Left-skewed,50,0.35,3.0,2,2258.0,1750.0,1750.0,1750.0,1745.0,1736.98,870,1736.98,0.46,10.26,30.0,0.75,0.75,0.75
2,Left-skewed,50,0.35,3.0,2,2027.0,1547.0,1547.0,1547.0,1547.0,1541.0,794,1541.0,0.39,12.37,31.54,0.39,0.39,0.39
