Instance_ID,Distribution,n,W_d,v,Status,Mksp_Truck,Mksp_MaxDrone,Mksp_NFD_OS,Mksp_FFD_OS,Obj_Gurobi,LB_Gurobi,LB_Theo,LB_Best,MIP_Gap(%),Time(s),Gap_Truck(%),Gap_MaxDrone(%),Gap_NFD_OS(%),Gap_FFD_OS(%)
1,Left-skewed,200,0.15,1.5,9,3661.0,3661.0,4062.0,3661.0,5959.0,3375.0,2936,3375.0,43.36,600.3,8.47,8.47,20.36,8.47
2,Left-skewed,200,0.15,1.5,9,3754.0,3754.0,4186.0,3754.0,6004.0,3504.0,3057,3504.0,41.64,600.12,7.13,7.13,19.46,7.13
3,Left-skewed,200,0.15,1.5,9,3942.0,3942.0,4331.0,3942.0,5982.0,3552.0,3064,3552.0,40.62,600.19,10.98,10.98,21.93,10.98
4,Left-skewed,200,0.15,1.5,9,3524.0,3524.0,3928.0,3524.0,5655.0,3285.0,2961,3285.0,41.91,600.11,7.28,7.28,19.57,7.28
5,Left-skewed,200,0.15,1.5,9,3614.0,3614.0,4018.0,3614.0,5418.0,3330.0,2989,3330.0,38.54,600.23,8.53,8.53,20.66,8.53
6,Left-skewed,200,0.15,1.5,9,3661.0,3661.0,4066.0,3661.0,5778.0,3375.0,3002,3375.0,41.59,600.1,8.47,8.47,20.47,8.47
7,Left-skewed,200,0.15,1.5,9,3900.0,3900.0,4284.0,3900.0,6093.0,3600.0,3071,3600.0,40.92,600.16,8.33,8.33,19.0,8.33
8,Left-skewed,200,0.15,1.5,9,3608.0,3608.0,3971.0,3608.0,5680.0,3330.0,2888,3330.0,41.37,600.12,8.35,8.35,19.25,8.35
9,Left-skewed,200,0.15,1.5,9,3751.0,3751.0,4110.0,3751.0,5388.0,3420.0,2917,3420.0,36.53,600.1,9.68,9.68,20.18,9.68
10,Left-skewed,200,0.15,1.5,9,3611.0,3611.0,3971.0,3611.0,5692.0,3330.0,2952,3330.0,41.5,600.17,8.44,8.44,19.25,8.44
1,Left-skewed,200,0.25,1.5,9,3661.0,3657.0,3966.0,3657.0,5156.0,3240.0,2936,3240.0,37.16,600.12,12.99,12.87,22.41,12.87
2,Left-skewed,200,0.25,1.5,9,3754.0,3753.0,3994.0,3753.0,5089.0,3312.0,3057,3312.0,34.92,600.13,13.35,13.32,20.59,13.32
3,Left-skewed,200,0.25,1.5,9,3942.0,3901.0,4235.0,3901.0,5229.0,3456.0,3064,3456.0,33.91,600.13,14.06,12.88,22.54,12.88
4,Left-skewed,200,0.25,1.5,9,3524.0,3478.0,3748.0,3478.0,5829.0,3105.0,2961,3105.0,46.73,600.16,13.49,12.01,20.71,12.01
5,Left-skewed,200,0.25,1.5,9,3614.0,3565.0,3883.0,3565.0,6013.0,3195.0,2989,3195.0,46.87,600.15,13.11,11.58,21.53,11.58
