Instance_ID,Distribution,n,W_d,v,Status,Mksp_Truck,Mksp_MaxDrone,Mksp_NFD_OS,Mksp_FFD_OS,Obj_Gurobi,LB_Gurobi,LB_Theo,LB_Best,MIP_Gap(%),Time(s),Gap_Truck(%),Gap_MaxDrone(%),Gap_NFD_OS(%),Gap_FFD_OS(%)
1,Left-skewed,20,0.15,1.5,2,393.0,393.0,393.0,393.0,384.0,383.0,292,383.0,0.26,8.19,2.34,2.34,2.34,2.34
2,Left-skewed,20,0.15,1.5,2,460.0,460.0,460.0,460.0,415.0,415.0,324,415.0,0.0,28.17,10.84,10.84,10.84,10.84
3,Left-skewed,20,0.15,1.5,2,471.0,471.0,471.0,471.0,457.0,457.0,329,457.0,0.0,1.83,3.06,3.06,3.06,3.06
4,Left-skewed,20,0.15,1.5,2,427.0,427.0,468.0,427.0,418.0,418.0,328,418.0,0.0,14.22,2.15,2.15,11.96,2.15
5,Left-skewed,20,0.15,1.5,2,415.0,415.0,415.0,415.0,370.0,370.0,321,370.0,0.0,14.27,12.16,12.16,12.16,12.16
6,Left-skewed,20,0.15,1.5,2,332.0,332.0,365.0,332.0,317.0,317.0,270,317.0,0.0,35.36,4.73,4.73,15.14,4.73
7,Left-skewed,20,0.15,1.5,2,480.0,480.0,480.0,480.0,464.0,464.0,359,464.0,0.0,26.46,3.45,3.45,3.45,3.45
8,Left-skewed,20,0.15,1.5,2,300.0,300.0,336.0,300.0,293.0,293.0,251,293.0,0.0,0.94,2.39,2.39,14.68,2.39
9,Left-skewed,20,0.15,1.5,9,384.0,384.0,428.0,384.0,375.0,370.0,358,370.0,1.33,3600.01,2.4,2.4,14.13,2.4
10,Left-skewed,20,0.15,1.5,2,368.0,368.0,368.0,368.0,357.0,357.0,281,357.0,0.0,10.92,3.08,3.08,3.08,3.08
1,Left-skewed,20,0.25,1.5,2,393.0,393.0,393.0,393.0,383.0,383.0,292,383.0,0.0,9.49,2.61,2.61,2.61,2.61
2,Left-skewed,20,0.25,1.5,2,460.0,460.0,460.0,460.0,415.0,415.0,324,415.0,0.0,27.7,10.84,10.84,10.84,10.84
3,Left-skewed,20,0.25,1.5,2,471.0,471.0,471.0,471.0,457.0,457.0,329,457.0,0.0,2.47,3.06,3.06,3.06,3.06
4,Left-skewed,20,0.25,1.5,2,427.0,427.0,468.0,427.0,418.0,418.0,328,418.0,0.0,14.09,2.15,2.15,11.96,2.15
5,Left-skewed,20,0.25,1.5,2,415.0,415.0,415.0,415.0,370.0,370.0,321,370.0,0.0,13.28,12.16,12.16,12.16,12.16
6,Left-skewed,20,0.25,1.5,2,332.0,326.0,326.0,326.0,318.0,317.0,270,317.0,0.31,1.69,4.4,2.52,2.52,2.52
7,Left-skewed,20,0.25,1.5,2,480.0,480.0,480.0,480.0,466.0,464.0,359,464.0,0.43,6.52,3.0,3.0,3.0,3.0
8,Left-skewed,20,0.25,1.5,2,300.0,300.0,300.0,300.0,293.0,293.0,251,293.0,0.0,5.9,2.39,2.39,2.39,2.39
9,Left-skewed,20,0.25,1.5,2,384.0,377.0,377.0,377.0,364.0,364.0,358,364.0,0.0,58.57,5.49,3.57,3.57,3.57
10,Left-skewed,20,0.25,1.5,2,368.0,368.0,368.0,368.0,357.0,357.0,281,357.0,0.0,14.47,3.08,3.08,3.08,3.08
1,Left-skewed,20,0.35,1.5,2,393.0,309.0,309.0,309.0,306.0,306.0,292,306.0,0.0,4.66,28.43,0.98,0.98,0.98
2,Left-skewed,20,0.35,1.5,2,460.0,370.0,370.0,370.0,370.0,370.0,324,370.0,0.0,1.88,24.32,0.0,0.0,0.0
3,Left-skewed,20,0.35,1.5,2,471.0,336.0,336.0,336.0,330.0,330.0,329,330.0,0.0,3.07,42.73,1.82,1.82,1.82
4,Left-skewed,20,0.35,1.5,2,427.0,382.0,382.0,382.0,373.0,373.0,328,373.0,0.0,3.26,14.48,2.41,2.41,2.41
5,Left-skewed,20,0.35,1.5,2,415.0,325.0,325.0,325.0,321.0,320.0,321,321,0.31,4.3,29.28,1.25,1.25,1.25
6,Left-skewed,20,0.35,1.5,2,332.0,281.0,281.0,281.0,278.0,278.0,270,278.0,0.0,0.89,19.42,1.08,1.08,1.08
7,Left-skewed,20,0.35,1.5,2,480.0,377.0,377.0,377.0,364.0,364.0,359,364.0,0.0,2.55,31.87,3.57,3.57,3.57
8,Left-skewed,20,0.35,1.5,9,300.0,251,251,251,251.0,223.0,251,251,11.16,3600.03,19.52,0.0,0.0,0.0
9,Left-skewed,20,0.35,1.5,9,384.0,358,358,358,358.0,313.0,358,358,12.57,3600.0,7.26,0.0,0.0,0.0
10,Left-skewed,20,0.35,1.5,2,368.0,290.0,290.0,290.0,286.0,286.0,281,286.0,0.0,6.32,28.67,1.4,1.4,1.4
1,Left-skewed,20,0.15,2.0,2,519.0,519.0,519.0,519.0,509.0,509.0,292,509.0,0.0,38.52,1.96,1.96,1.96,1.96
2,Left-skewed,20,0.15,2.0,2,610.0,610.0,610.0,610.0,550.0,547.5,324,547.5,0.45,4.64,10.91,10.91,10.91,10.91
3,Left-skewed,20,0.15,2.0,2,621.0,621.0,621.0,621.0,607.0,607.0,329,607.0,0.0,1.55,2.31,2.31,2.31,2.31
4,Left-skewed,20,0.15,2.0,2,562.0,562.0,618.0,562.0,553.0,553.0,328,553.0,0.0,1.67,1.63,1.63,11.75,1.63
5,Left-skewed,20,0.15,2.0,2,550.0,550.0,550.0,550.0,490.0,488.03,321,488.03,0.4,16.11,12.24,12.24,12.24,12.24
6,Left-skewed,20,0.15,2.0,2,436.0,436.0,482.0,436.0,422.0,421.0,270,421.0,0.24,3.26,3.32,3.32,14.22,3.32
7,Left-skewed,20,0.15,2.0,2,633.0,633.0,633.0,633.0,619.0,617.0,359,617.0,0.32,6.43,2.26,2.26,2.26,2.26
8,Left-skewed,20,0.15,2.0,2,396.0,396.0,444.0,396.0,389.0,389.0,251,389.0,0.0,0.52,1.8,1.8,14.14,1.8
9,Left-skewed,20,0.15,2.0,2,503.0,503.0,564.0,503.0,491.0,489.0,358,489.0,0.41,7.31,2.44,2.44,14.87,2.44
10,Left-skewed,20,0.15,2.0,2,485.0,485.0,485.0,485.0,474.0,474.0,281,474.0,0.0,27.61,2.32,2.32,2.32,2.32
1,Left-skewed,20,0.25,2.0,2,519.0,519.0,519.0,519.0,509.0,509.0,292,509.0,0.0,32.99,1.96,1.96,1.96,1.96
2,Left-skewed,20,0.25,2.0,2,610.0,610.0,610.0,610.0,550.0,547.5,324,547.5,0.45,4.59,10.91,10.91,10.91,10.91
3,Left-skewed,20,0.25,2.0,2,621.0,621.0,621.0,621.0,607.0,604.24,329,604.24,0.46,1.41,2.31,2.31,2.31,2.31
4,Left-skewed,20,0.25,2.0,2,562.0,562.0,618.0,562.0,553.0,553.0,328,553.0,0.0,1.68,1.63,1.63,11.75,1.63
5,Left-skewed,20,0.25,2.0,2,550.0,550.0,550.0,550.0,490.0,488.03,321,488.03,0.4,16.31,12.24,12.24,12.24,12.24
6,Left-skewed,20,0.25,2.0,2,436.0,430.0,430.0,430.0,421.0,421.0,270,421.0,0.0,3.11,3.56,2.14,2.14,2.14
7,Left-skewed,20,0.25,2.0,2,633.0,633.0,633.0,633.0,619.0,617.0,359,617.0,0.32,4.2,2.26,2.26,2.26,2.26
8,Left-skewed,20,0.25,2.0,2,396.0,396.0,396.0,396.0,389.0,387.33,251,387.33,0.43,6.33,1.8,1.8,1.8,1.8
