Instance_ID,Distribution,n,W_d,v,Status,Mksp_Truck,Mksp_MaxDrone,Mksp_NFD_OS,Mksp_FFD_OS,Obj_Gurobi,LB_Gurobi,LB_Theo,LB_Best,MIP_Gap(%),Time(s),Gap_Truck(%),Gap_MaxDrone(%),Gap_NFD_OS(%),Gap_FFD_OS(%)
1,Correlated,20,0.25,2.0,9,328.0,369,305,305.0,305.0,243.0,290,290,20.33,3600.02,7.54,20.98,0.0,0.0
2,Correlated,20,0.25,2.0,2,486.0,383.0,383.0,383.0,381.0,381.0,356,381.0,0.0,11.59,27.56,0.52,0.52,0.52
3,Correlated,20,0.25,2.0,9,433.0,365,413.0,365,365.0,359.0,346,359.0,1.64,3600.01,18.63,0.0,13.15,0.0
4,Correlated,20,0.25,2.0,9,432.0,363.0,398.0,363.0,361.0,358.0,341,358.0,0.83,3600.01,19.67,0.55,10.25,0.55
5,Correlated,20,0.25,2.0,9,311.0,298,298,298.0,298.0,227.0,285,285,23.83,3600.02,4.36,0.0,0.0,0.0
6,Correlated,20,0.25,2.0,9,396.0,345,345,345,345.0,315.0,329,329,8.7,3600.01,14.78,0.0,0.0,0.0
7,Correlated,20,0.25,2.0,9,329.0,369,308,308,308.0,192.0,293,293,37.66,3600.04,6.82,19.81,0.0,0.0
8,Correlated,20,0.25,2.0,2,395.0,376.0,376.0,376.0,376.0,376.0,330,376.0,0.0,12.19,5.05,0.0,0.0,0.0
9,Correlated,20,0.25,2.0,2,502.0,491.0,507.0,491.0,447.0,445.0,362,445.0,0.45,16.95,12.3,9.84,13.42,9.84
10,Correlated,20,0.25,2.0,2,429.0,398.0,398.0,398.0,398.0,398.0,337,398.0,0.0,17.54,7.79,0.0,0.0,0.0
