Instance_ID,Distribution,n,W_d,v,Status,Mksp_Truck,Mksp_MaxDrone,Mksp_NFD_OS,Mksp_FFD_OS,Obj_Gurobi,LB_Gurobi,LB_Theo,LB_Best,MIP_Gap(%),Time(s),Gap_Truck(%),Gap_MaxDrone(%),Gap_NFD_OS(%),Gap_FFD_OS(%)
1,Correlated,100,0.25,2.0,9,1668.0,1505,1496,1496,1850.0,1200.0,1480,1480,35.14,600.14,12.7,1.69,1.08,1.08
2,Correlated,100,0.25,2.0,9,1717.0,1528,1528.0,1528,inf,0.0,1512,1512,100.0,600.09,0.0,0.0,0.0,0.0
3,Correlated,100,0.25,2.0,9,1904.0,1614.0,1693.0,1614.0,2371.0,1472.0,1568,1568,37.92,600.12,21.43,2.93,7.97,2.93
4,Correlated,100,0.25,2.0,9,1449.0,1489,1419,1419,2216.0,1008.0,1405,1405,54.51,600.07,3.13,5.98,1.0,1.0
5,Correlated,100,0.25,2.0,9,1649.0,1535,1487,1487,1839.0,1080.0,1471,1471,41.27,600.05,12.1,4.35,1.09,1.09
6,Correlated,100,0.25,2.0,9,1607.0,1715,1460,1460,1566.0,1080.0,1444,1444,31.03,600.06,11.29,18.77,1.11,1.11
7,Correlated,100,0.25,2.0,9,1904.0,1678.0,1756.0,1678.0,1948.0,1472.0,1584,1584,24.44,600.07,20.2,5.93,10.86,5.93
8,Correlated,100,0.25,2.0,9,1685.0,1565,1514,1514,1698.0,1200.0,1498,1498,29.33,600.03,12.48,4.47,1.07,1.07
9,Correlated,100,0.25,2.0,9,1651.0,1505,1477,1477,1647.0,1140.62,1461,1461,30.75,600.06,13.0,3.01,1.1,1.1
10,Correlated,100,0.25,2.0,9,1723.0,1533,1536.0,1533,1710.0,1381.14,1516,1516,19.23,600.03,13.65,1.12,1.32,1.12
