Instance_ID,Distribution,n,W_d,v,Status,Mksp_Truck,Mksp_MaxDrone,Mksp_NFD_OS,Mksp_FFD_OS,Obj_Gurobi,LB_Gurobi,LB_Theo,LB_Best,MIP_Gap(%),Time(s),Gap_Truck(%),Gap_MaxDrone(%),Gap_NFD_OS(%),Gap_FFD_OS(%)
1,Correlated,200,0.25,2.0,9,3275.0,2953,2953,2953,5105.0,-inf,2937,2937,inf,600.09,11.51,0.54,0.54,0.54
2,Correlated,200,0.25,2.0,9,3342.0,3009,3009,3009,inf,0.0,2993,2993,100.0,600.2,0.0,0.0,0.0,0.0
3,Correlated,200,0.25,2.0,9,2845.0,2917,2792,2792.0,5217.0,1960.0,2778,2778,62.43,600.08,2.41,5.0,0.5,0.5
4,Correlated,200,0.25,2.0,9,3349.0,3025,3025.0,3025.0,5408.0,2520.0,3009,3009,53.4,600.09,11.3,0.53,0.53,0.53
5,Correlated,200,0.25,2.0,9,3288.0,2987,2987,2987,inf,0.0,2971,2971,100.0,600.08,0.0,0.0,0.0,0.0
6,Correlated,200,0.25,2.0,9,3718.0,3164.0,3292.0,3164.0,5553.0,2816.0,3101,3101,49.29,600.11,19.9,2.03,6.16,2.03
7,Correlated,200,0.25,2.0,9,3271.0,2957,2957,2957,5293.0,-inf,2941,2941,inf,600.37,11.22,0.54,0.54,0.54
8,Correlated,200,0.25,2.0,9,3215.0,2975,2910.0,2910,inf,0.0,2894,2894,100.0,600.27,0.0,0.0,0.0,0.0
9,Correlated,200,0.25,2.0,9,3653.0,3164.0,3342.0,3164.0,5475.0,-inf,3058,3058,inf,600.21,19.46,3.47,9.29,3.47
10,Correlated,200,0.25,2.0,9,3632.0,3074,3150.0,3074,5088.0,2688.0,3056,3056,47.17,600.24,18.85,0.59,3.08,0.59
