Instance_ID,Distribution,n,W_d,v,Status,Mksp_Truck,Mksp_MaxDrone,Mksp_NFD_OS,Mksp_FFD_OS,Obj_Gurobi,LB_Gurobi,LB_Theo,LB_Best,MIP_Gap(%),Time(s),Gap_Truck(%),Gap_MaxDrone(%),Gap_NFD_OS(%),Gap_FFD_OS(%)
1,Left-skewed,20,0.15,1.5,2,390.0,390.0,435.0,390.0,375.0,375.0,330,375.0,0.0,71.77,4.0,4.0,16.0,4.0
2,Left-skewed,20,0.15,1.5,2,390.0,390.0,435.0,390.0,390.0,390.0,330,390.0,0.0,114.74,0.0,0.0,11.54,0.0
3,Left-skewed,20,0.15,1.5,2,390.0,390.0,435.0,390.0,390.0,390.0,330,390.0,0.0,59.53,0.0,0.0,11.54,0.0
4,Left-skewed,20,0.15,1.5,2,420.0,420.0,435.0,420.0,420.0,420.0,330,420.0,0.0,3.66,0.0,0.0,3.57,0.0
5,Left-skewed,20,0.15,1.5,2,435.0,435.0,435.0,435.0,420.0,420.0,330,420.0,0.0,3.49,3.57,3.57,3.57,3.57
6,Left-skewed,20,0.15,1.5,2,390.0,390.0,435.0,390.0,375.0,375.0,330,375.0,0.0,4.76,4.0,4.0,16.0,4.0
7,Left-skewed,20,0.15,1.5,9,345.0,345.0,390.0,345.0,345.0,330.0,330,330,4.35,3600.0,0.0,0.0,13.04,0.0
8,Left-skewed,20,0.15,1.5,2,420.0,420.0,435.0,420.0,390.0,390.0,330,390.0,0.0,211.29,7.69,7.69,11.54,7.69
9,Left-skewed,20,0.15,1.5,2,435.0,435.0,435.0,435.0,420.0,420.0,330,420.0,0.0,13.03,3.57,3.57,3.57,3.57
10,Left-skewed,20,0.15,1.5,2,375.0,375.0,435.0,375.0,375.0,375.0,330,375.0,0.0,0.92,0.0,0.0,16.0,0.0
1,Left-skewed,20,0.25,1.5,2,390.0,390.0,390.0,390.0,375.0,375.0,330,375.0,0.0,14.59,4.0,4.0,4.0,4.0
2,Left-skewed,20,0.25,1.5,2,390.0,390.0,435.0,390.0,390.0,390.0,330,390.0,0.0,15.46,0.0,0.0,11.54,0.0
3,Left-skewed,20,0.25,1.5,2,390.0,390.0,420.0,390.0,390.0,388.57,330,388.57,0.37,1516.23,0.0,0.0,7.69,0.0
4,Left-skewed,20,0.25,1.5,2,420.0,420.0,435.0,420.0,390.0,390.0,330,390.0,0.0,32.57,7.69,7.69,11.54,7.69
5,Left-skewed,20,0.25,1.5,2,435.0,435.0,435.0,435.0,420.0,420.0,330,420.0,0.0,12.67,3.57,3.57,3.57,3.57
