Instance_ID,Distribution,n,W_d,v,Status,Mksp_Truck,Mksp_MaxDrone,Mksp_NFD_OS,Mksp_FFD_OS,Obj_Gurobi,LB_Gurobi,LB_Theo,LB_Best,MIP_Gap(%),Time(s),Gap_Truck(%),Gap_MaxDrone(%),Gap_NFD_OS(%),Gap_FFD_OS(%)
1,Left-skewed,100,0.15,1.5,9,1815.0,1815.0,1965.0,1815.0,1785.0,1620.0,1530,1620.0,9.24,600.05,12.04,12.04,21.3,12.04
2,Left-skewed,100,0.15,1.5,9,1875.0,1875.0,2040.0,1875.0,1995.0,1710.0,1530,1710.0,14.29,600.12,9.65,9.65,19.3,9.65
3,Left-skewed,100,0.15,1.5,9,1875.0,1875.0,2055.0,1875.0,1830.0,1710.0,1530,1710.0,6.56,600.11,9.65,9.65,20.18,9.65
4,Left-skewed,100,0.15,1.5,9,1860.0,1860.0,2055.0,1860.0,1890.0,1665.0,1530,1665.0,11.9,600.08,11.71,11.71,23.42,11.71
5,Left-skewed,100,0.15,1.5,9,1830.0,1830.0,2010.0,1830.0,1830.0,1665.0,1530,1665.0,9.02,600.08,9.91,9.91,20.72,9.91
6,Left-skewed,100,0.15,1.5,9,1905.0,1905.0,2085.0,1905.0,2025.0,1710.0,1530,1710.0,15.56,600.11,11.4,11.4,21.93,11.4
7,Left-skewed,100,0.15,1.5,9,1860.0,1860.0,2055.0,1860.0,1860.0,1665.0,1530,1665.0,10.48,600.22,11.71,11.71,23.42,11.71
8,Left-skewed,100,0.15,1.5,9,1950.0,1950.0,2085.0,1950.0,1920.0,1755.0,1530,1755.0,8.59,600.06,11.11,11.11,18.8,11.11
9,Left-skewed,100,0.15,1.5,9,1785.0,1785.0,1995.0,1785.0,1830.0,1620.0,1530,1620.0,11.48,600.07,10.19,10.19,23.15,10.19
10,Left-skewed,100,0.15,1.5,9,1875.0,1875.0,2055.0,1875.0,2010.0,1710.0,1530,1710.0,14.93,600.11,9.65,9.65,20.18,9.65
1,Left-skewed,100,0.25,1.5,9,1815.0,1815.0,1920.0,1815.0,1965.0,1575.0,1530,1575.0,19.85,600.05,15.24,15.24,21.9,15.24
2,Left-skewed,100,0.25,1.5,9,1875.0,1860.0,1965.0,1860.0,1995.0,1620.0,1530,1620.0,18.8,600.14,15.74,14.81,21.3,14.81
3,Left-skewed,100,0.25,1.5,9,1875.0,1875.0,1965.0,1875.0,1875.0,1724.44,1530,1724.44,8.03,600.12,8.73,8.73,13.95,8.73
4,Left-skewed,100,0.25,1.5,9,1860.0,1860.0,2010.0,1860.0,1815.0,1710.0,1530,1710.0,5.79,600.06,8.77,8.77,17.54,8.77
5,Left-skewed,100,0.25,1.5,9,1830.0,1830.0,1920.0,1830.0,2115.0,1620.0,1530,1620.0,23.4,600.13,12.96,12.96,18.52,12.96
6,Left-skewed,100,0.25,1.5,9,1905.0,1905.0,2040.0,1905.0,1860.0,1710.0,1530,1710.0,8.06,600.08,11.4,11.4,19.3,11.4
7,Left-skewed,100,0.25,1.5,9,1860.0,1830.0,1965.0,1830.0,2040.0,1620.0,1530,1620.0,20.59,600.06,14.81,12.96,21.3,12.96
8,Left-skewed,100,0.25,1.5,9,1950.0,1920.0,2055.0,1920.0,1920.0,1838.04,1530,1838.04,4.27,600.04,6.09,4.46,11.8,4.46
9,Left-skewed,100,0.25,1.5,9,1785.0,1785.0,1875.0,1785.0,1950.0,1586.4,1530,1586.4,18.65,600.1,12.52,12.52,18.19,12.52
10,Left-skewed,100,0.25,1.5,9,1875.0,1875.0,1995.0,1875.0,2055.0,1697.08,1530,1697.08,17.42,600.15,10.48,10.48,17.55,10.48
1,Left-skewed,100,0.35,1.5,9,1815.0,1530,1530.0,1530.0,1575.0,1260.0,1530,1530,20.0,600.09,18.63,0.0,0.0,0.0
2,Left-skewed,100,0.35,1.5,9,1875.0,1530,1530.0,1530.0,1545.0,1395.0,1530,1530,9.71,600.22,22.55,0.0,0.0,0.0
3,Left-skewed,100,0.35,1.5,9,1875.0,1545.0,1545.0,1545.0,1560.0,1530.0,1530,1530,1.92,600.12,22.55,0.98,0.98,0.98
4,Left-skewed,100,0.35,1.5,9,1860.0,1530,1530.0,1530.0,1575.0,1368.87,1530,1530,13.09,600.12,21.57,0.0,0.0,0.0
5,Left-skewed,100,0.35,1.5,9,1830.0,1530,1530.0,1530.0,1620.0,1485.0,1530,1530,8.33,600.11,19.61,0.0,0.0,0.0
6,Left-skewed,100,0.35,1.5,9,1905.0,1530,1530.0,1530.0,1575.0,1485.0,1530,1530,5.71,600.06,24.51,0.0,0.0,0.0
7,Left-skewed,100,0.35,1.5,9,1860.0,1530,1530.0,1530.0,1620.0,1485.0,1530,1530,8.33,600.05,21.57,0.0,0.0,0.0
8,Left-skewed,100,0.35,1.5,9,1950.0,1605.0,1605.0,1605.0,1620.0,1575.0,1530,1575.0,2.78,600.06,23.81,1.9,1.9,1.9
9,Left-skewed,100,0.35,1.5,9,1785.0,1530,1530.0,1530.0,1665.0,1440.0,1530,1530,13.51,600.11,16.67,0.0,0.0,0.0
